case_id,a_id,b_id,a_code,b_code,expected_match,expected_method,expected_score_or_range,expected_reason
HVAC-001,blk-hvac-p01,excel-hvac-001,N/A,FCU-1,false,none,no_edge,A側は説明文であり設備行ではない
HVAC-002,blk-hvac-p01,excel-hvac-002,N/A,OU-1,false,none,no_edge,A側は説明文であり設備行ではない
HVAC-003,blk-hvac-p01,excel-hvac-003,N/A,IU-2,false,none,no_edge,A側は説明文であり設備行ではない
HVAC-004,blk-hvac-p01,excel-hvac-004,N/A,OU-2,false,none,no_edge,A側は説明文であり設備行ではない
HVAC-005,blk-hvac-r01,excel-hvac-001,FCU-1,FCU-1,true,not_fixed,accepted_edge,設備コードFCU-1が一致
HVAC-006,blk-hvac-r01,excel-hvac-002,FCU-1,OU-1,false,none,no_edge,設備コードが異なる
HVAC-007,blk-hvac-r01,excel-hvac-003,FCU-1,IU-2,false,none,no_edge,設備コードが異なる
HVAC-008,blk-hvac-r01,excel-hvac-004,FCU-1,OU-2,false,none,no_edge,設備コードが異なる
HVAC-009,blk-hvac-r02,excel-hvac-001,OU-1,FCU-1,false,none,no_edge,設備コードが異なる
HVAC-010,blk-hvac-r02,excel-hvac-002,OU-1,OU-1,true,not_fixed,accepted_edge,設備コードOU-1が一致
HVAC-011,blk-hvac-r02,excel-hvac-003,OU-1,IU-2,false,none,no_edge,設備コードが異なる
HVAC-012,blk-hvac-r02,excel-hvac-004,OU-1,OU-2,false,none,no_edge,設備コードが異なる
HVAC-013,blk-hvac-r03,excel-hvac-001,IU-2,FCU-1,false,none,no_edge,設備コードが異なる
HVAC-014,blk-hvac-r03,excel-hvac-002,IU-2,OU-1,false,none,no_edge,設備コードが異なる
HVAC-015,blk-hvac-r03,excel-hvac-003,IU-2,IU-2,true,not_fixed,accepted_edge,設備コードIU-2が一致
HVAC-016,blk-hvac-r03,excel-hvac-004,IU-2,OU-2,false,none,no_edge,設備コードが異なる
HVAC-017,blk-hvac-r04,excel-hvac-001,OU-2,FCU-1,false,none,no_edge,設備コードが異なる
HVAC-018,blk-hvac-r04,excel-hvac-002,OU-2,OU-1,false,none,no_edge,設備コードが異なる
HVAC-019,blk-hvac-r04,excel-hvac-003,OU-2,IU-2,false,none,no_edge,設備コードが異なる
HVAC-020,blk-hvac-r04,excel-hvac-004,OU-2,OU-2,true,not_fixed,accepted_edge,設備コードOU-2が一致

